Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"TMPRSS4","Transmembrane Serine Protease 4","Protein Coding","35","GC11P118077","15.4062805175781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS4"
"DDX58","DExD/H-Box Helicase 58","Protein Coding","42","GC09M032455","15.2436943054199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX58"
"IFIH1","Interferon Induced With Helicase C Domain 1","Protein Coding","42","GC02M162267","14.850944519043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","46","GC17P063477","13.6704711914063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"IFNB1","Interferon Beta 1","Protein Coding","40","GC09M021077","13.6274223327637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1"
"VPS39","VPS39 Subunit Of HOPS Complex","Protein Coding","35","GC15M042159","13.2561016082764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS39"
"MAVS","Mitochondrial Antiviral Signaling Protein","Protein Coding","34","GC20P004009","13.1878662109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAVS"
"TOMM70","Translocase Of Outer Mitochondrial Membrane 70","Protein Coding","30","GC03M100364","12.9851036071777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM70"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","45","GC03P148697","12.5520839691162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"DPP4","Dipeptidyl Peptidase 4","Protein Coding","45","GC02M161992","12.3722429275513","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"SLC6A19","Solute Carrier Family 6 Member 19","Protein Coding","40","GC05P001201","12.1992444992065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A19"
"IFITM2","Interferon Induced Transmembrane Protein 2","Protein Coding","33","GC11P000300","12.100414276123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM2"
"VPS41","VPS41 Subunit Of HOPS Complex","Protein Coding","36","GC07M039044","12.0591888427734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS41"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","44","GC14P061695","12.048900604248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"AGTR2","Angiotensin II Receptor Type 2","Protein Coding","41","GC0XP116170","11.9052886962891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR2"
"IL1B","Interleukin 1 Beta","Protein Coding","42","GC02M112829","11.7956781387329","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"PALS1","Protein Associated With LIN7 1, MAGUK P55 Family Member","Protein Coding","31","GC14P067240","11.7803249359131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALS1"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","42","GC06M063563","11.7227783203125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"TLR2","Toll Like Receptor 2","Protein Coding","46","GC04P153684","11.6828308105469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2"
"IL17RA","Interleukin 17 Receptor A","Protein Coding","40","GC22P018394","11.2702541351318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17RA"
"BMS1P20","BMS1 Pseudogene 20","Pseudogene","10","GC22P022298","11.0379571914673","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMS1P20"
"HLA-E","Major Histocompatibility Complex, Class I, E","Protein Coding","38","GC06P080326","10.9902639389038","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-E"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","45","GC02M177227","10.8759593963623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"RAE1","Ribonucleic Acid Export 1","Protein Coding","36","GC20P057351","10.6811714172363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAE1"
"NUP98","Nucleoporin 98 And 96 Precursor","Protein Coding","39","GC11M003671","10.6764869689941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP98"
"TLR4","Toll Like Receptor 4","Protein Coding","46","GC09P117704","10.5393409729004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"TLR8","Toll Like Receptor 8","Protein Coding","43","GC0XP012924","10.492805480957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8"
"IL17A","Interleukin 17A","Protein Coding","39","GC06P052186","10.3068208694458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"PIK3C3","Phosphatidylinositol 3-Kinase Catalytic Subunit Type 3","Protein Coding","44","GC18P041955","10.2616806030273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C3"
"TNF","Tumor Necrosis Factor","Protein Coding","46","GC06P080353","10.2005853652954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"HLA-C","Major Histocompatibility Complex, Class I, C","Protein Coding","40","GC06M063562","10.0996809005737","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C"
"SCARB1","Scavenger Receptor Class B Member 1","Protein Coding","42","GC12M124776","9.95206451416016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1"
"ANO6","Anoctamin 6","Protein Coding","37","GC12P045215","9.77288913726807","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO6"
"AVPR1B","Arginine Vasopressin Receptor 1B","Protein Coding","41","GC01M206109","9.72702503204346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVPR1B"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","35","GC04P073740","9.65567016601563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","39","GC04M076021","9.61917972564697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","43","GC06P043770","9.58526611328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"CH25H","Cholesterol 25-Hydroxylase","Protein Coding","35","GC10M089205","9.56048965454102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CH25H"
"IKBKG","Inhibitor Of Nuclear Factor Kappa B Kinase Regulatory Subunit Gamma","Protein Coding","43","GC0XP154541","9.55232429504395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKG"
"RELA","RELA Proto-Oncogene, NF-KB Subunit","Protein Coding","46","GC11M065653","9.37648391723633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA"
"PIKFYVE","Phosphoinositide Kinase, FYVE-Type Zinc Finger Containing","Protein Coding","43","GC02P208266","9.31865310668945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIKFYVE"
"MYD88","MYD88 Innate Immune Signal Transduction Adaptor","Protein Coding","44","GC03P038139","9.28232765197754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","46","GC02M009488","9.13422393798828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"LY6E","Lymphocyte Antigen 6 Family Member E","Protein Coding","35","GC08P143017","9.03379440307617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LY6E"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","43","GC17P034255","8.87039089202881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"TRAF3","TNF Receptor Associated Factor 3","Protein Coding","42","GC14P109258","8.84473705291748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF3"
"G3BP1","G3BP Stress Granule Assembly Factor 1","Protein Coding","36","GC05P151771","8.82796669006348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G3BP1"
"ZDHHC20","Zinc Finger DHHC-Type Palmitoyltransferase 20","Protein Coding","33","GC13M021372","8.73380470275879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC20"
"KPNA2","Karyopherin Subunit Alpha 2","Protein Coding","39","GC17P068035","8.50472259521484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNA2"
"HMGB1","High Mobility Group Box 1","Protein Coding","40","GC13M030456","8.34130191802979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"G3BP2","G3BP Stress Granule Assembly Factor 2","Protein Coding","32","GC04M075642","8.25178146362305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G3BP2"
"LOC117134593","ACE2 Promoter Region","Biological Region","2","GC0XP015600","8.16769981384277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134593"
"ISG15","ISG15 Ubiquitin Like Modifier","Protein Coding","40","GC01P001001","8.13849449157715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISG15"
"ZDHHC9","Zinc Finger DHHC-Type Palmitoyltransferase 9","Protein Coding","39","GC0XM129803","8.13584518432617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC9"
"LARP1","La Ribonucleoprotein 1, Translational Regulator","Protein Coding","35","GC05P154682","8.03796482086182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARP1"
"IRF5","Interferon Regulatory Factor 5","Protein Coding","42","GC07P128937","7.95811891555786","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF5"
"TRIM25","Tripartite Motif Containing 25","Protein Coding","38","GC17M056836","7.84520626068115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM25"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","48","GC01M011106","7.84239387512207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"LOC102724971","Putative V-Set And Immunoglobulin Domain-Containing-Like Protein IGHV4OR15-8","Protein Coding","5","GC15M021742","7.78102350234985","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC102724971"
"SFTPD","Surfactant Protein D","Protein Coding","39","GC10M079937","7.61396932601929","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPD"
"VPS11","VPS11 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","38","GC11P119067","7.57875633239746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS11"
"SMPD1","Sphingomyelin Phosphodiesterase 1","Protein Coding","44","GC11P006390","7.56541538238525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMPD1"
"STING1","Stimulator Of Interferon Response CGAMP Interactor 1","Protein Coding","32","GC05M139476","7.5091347694397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STING1"
"DHX58","DExH-Box Helicase 58","Protein Coding","34","GC17M042101","7.44420194625854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX58"
"IRF7","Interferon Regulatory Factor 7","Protein Coding","43","GC11M000612","7.37704181671143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF7"
"S100A8","S100 Calcium Binding Protein A8","Protein Coding","38","GC01M153391","7.36673927307129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8"
"TJP1","Tight Junction Protein 1","Protein Coding","39","GC15M029699","7.35894441604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP1"
"KLRC1","Killer Cell Lectin Like Receptor C1","Protein Coding","38","GC12M020447","7.31336307525635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRC1"
"JAK1","Janus Kinase 1","Protein Coding","48","GC01M064833","7.26483106613159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK1"
"ZDHHC8","Zinc Finger DHHC-Type Palmitoyltransferase 8","Protein Coding","35","GC22P020129","7.22613525390625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC8"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","44","GC10M006010","7.10326290130615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"METTL3","Methyltransferase 3, N6-Adenosine-Methyltransferase Complex Catalytic Subunit","Protein Coding","36","GC14M021498","7.10025691986084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL3"
"HMOX1","Heme Oxygenase 1","Protein Coding","46","GC22P035380","7.06624507904053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"IFNG","Interferon Gamma","Protein Coding","43","GC12M068154","7.06328058242798","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"LOC118966792","DACE2 Interferon-Inducible Promoter Region","Biological Region","2","GC0XP015580","7.03996086120605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC118966792"
"HNRNPA1","Heterogeneous Nuclear Ribonucleoprotein A1","Protein Coding","41","GC12P054280","7.01301050186157","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1"
"TRAF6","TNF Receptor Associated Factor 6","Protein Coding","41","GC11M036467","7.00574111938477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF6"
"KNG1","Kininogen 1","Protein Coding","42","GC03P186717","6.94816303253174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1"
"TMEM41B","Transmembrane Protein 41B","Protein Coding","29","GC11M009280","6.92079067230225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM41B"
"VPS16","VPS16 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","32","GC20P002840","6.88418960571289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS16"
"VPS18","VPS18 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","32","GC15P040894","6.88418960571289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS18"
"IL10","Interleukin 10","Protein Coding","42","GC01M206767","6.88176584243774","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"IFNA1","Interferon Alpha 1","Protein Coding","38","GC09P021585","6.86507892608643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"IL4","Interleukin 4","Protein Coding","40","GC05P132673","6.82525205612183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"GSK3B","Glycogen Synthase Kinase 3 Beta","Protein Coding","44","GC03M119821","6.76700019836426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B"
"TLR3","Toll Like Receptor 3","Protein Coding","46","GC04P186059","6.6660680770874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","36","GC17M036088","6.61461591720581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"REN","Renin","Protein Coding","44","GC01M204154","6.55314683914185","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"BECN1","Beclin 1","Protein Coding","40","GC17M042810","6.51859378814697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN1"
"KLRD1","Killer Cell Lectin Like Receptor D1","Protein Coding","38","GC12P010226","6.44475317001343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRD1"
"ZC3HAV1","Zinc Finger CCCH-Type Containing, Antiviral 1","Protein Coding","35","GC07M139051","6.4218053817749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3HAV1"
"KREMEN1","Kringle Containing Transmembrane Protein 1","Protein Coding","40","GC22P029073","6.40800046920776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KREMEN1"
"CTSB","Cathepsin B","Protein Coding","47","GC08M011842","6.40372180938721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSB"
"IKBKE","Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Epsilon","Protein Coding","40","GC01P206470","6.39670276641846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKE"
"IKBKB","Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta","Protein Coding","47","GC08P042271","6.37134408950806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKB"
"CCL5","C-C Motif Chemokine Ligand 5","Protein Coding","38","GC17M035871","6.36532258987427","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"HAVCR1","Hepatitis A Virus Cellular Receptor 1","Protein Coding","38","GC05M157028","6.36114549636841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAVCR1"
"ITGB1","Integrin Subunit Beta 1","Protein Coding","45","GC10M032993","6.35782337188721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1"
"VPS45","Vacuolar Protein Sorting 45 Homolog","Protein Coding","35","GC01P150114","6.35632467269897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS45"
"IFNAR2","Interferon Alpha And Beta Receptor Subunit 2","Protein Coding","44","GC21P033229","6.33246469497681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR2"
"LOC102723407","Immunoglobulin Heavy Variable 4-38-2-Like","Protein Coding","6","GC14P8B0041","6.33181667327881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC102723407"
"TPCN2","Two Pore Segment Channel 2","Protein Coding","35","GC11P069813","6.31655311584473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPCN2"
"CRP","C-Reactive Protein","Protein Coding","41","GC01M159726","6.28492116928101","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"MAP3K7","Mitogen-Activated Protein Kinase Kinase Kinase 7","Protein Coding","46","GC06M090513","6.22242832183838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K7"
"VPS33A","VPS33A Core Subunit Of CORVET And HOPS Complexes","Protein Coding","36","GC12M122229","6.22242832183838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS33A"
"IL2","Interleukin 2","Protein Coding","42","GC04M122451","6.18831396102905","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"PIK3R4","Phosphoinositide-3-Kinase Regulatory Subunit 4","Protein Coding","41","GC03M130678","6.10490846633911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R4"
"LOC117134604","TMPRSS2 Promoter Region","Biological Region","2","GC21P041507","6.10328531265259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134604"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","47","GC02M190908","6.0789737701416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"NUP210","Nucleoporin 210","Protein Coding","36","GC03M020199","6.07199096679688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP210"
"NUP54","Nucleoporin 54","Protein Coding","32","GC04M076114","6.07199096679688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP54"
"NUP58","Nucleoporin 58","Protein Coding","28","GC13P025397","6.07199096679688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP58"
"CSF2","Colony Stimulating Factor 2","Protein Coding","38","GC05P132073","6.0235710144043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"CSNK1A1","Casein Kinase 1 Alpha 1","Protein Coding","43","GC05M149492","6.00219583511353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1A1"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","46","GC19M041301","5.99446535110474","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","43","GC14M102080","5.98246335983276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"NUP62","Nucleoporin 62","Protein Coding","40","GC19M049906","5.98246335983276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP62"
"LTF","Lactotransferrin","Protein Coding","40","GC03M046435","5.95524978637695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTF"
"PRKCSH","Protein Kinase C Substrate 80K-H","Protein Coding","40","GC19P011435","5.94090175628662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCSH"
"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5","Protein Coding","42","GC09M125234","5.92965602874756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5"
"NUP214","Nucleoporin 214","Protein Coding","40","GC09P131125","5.92920589447021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP214"
"AVP","Arginine Vasopressin","Protein Coding","41","GC20M003082","5.9274582862854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVP"
"UBC","Ubiquitin C","Protein Coding","37","GC12M124911","5.9219799041748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC"
"IRAK1","Interleukin 1 Receptor Associated Kinase 1","Protein Coding","44","GC0XM154010","5.91816997528076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK1"
"SRPK1","SRSF Protein Kinase 1","Protein Coding","41","GC06M063756","5.88182258605957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRPK1"
"CAV1","Caveolin 1","Protein Coding","43","GC07P116524","5.8707423210144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1"
"YWHAQ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Theta","Protein Coding","41","GC02M009583","5.8707423210144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAQ"
"NUP93","Nucleoporin 93","Protein Coding","36","GC16P057015","5.8707423210144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP93"
"NUP205","Nucleoporin 205","Protein Coding","34","GC07P135557","5.8707423210144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP205"
"NUP188","Nucleoporin 188","Protein Coding","32","GC09P128947","5.8707423210144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP188"
"NDC1","NDC1 Transmembrane Nucleoporin","Protein Coding","30","GC01M053765","5.8707423210144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDC1"
"TLR9","Toll Like Receptor 9","Protein Coding","41","GC03M052222","5.86398696899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9"
"CANX","Calnexin","Protein Coding","39","GC05P179678","5.83188581466675","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANX"
"GOLGA7","Golgin A7","Protein Coding","33","GC08P041467","5.82176828384399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGA7"
"ZDHHC5","Zinc Finger DHHC-Type Palmitoyltransferase 5","Protein Coding","33","GC11P057670","5.82176828384399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC5"
"RPS10","Ribosomal Protein S10","Protein Coding","39","GC06M063743","5.80716705322266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS10"
"RPS5","Ribosomal Protein S5","Protein Coding","36","GC19P058386","5.80716705322266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS5"
"NRP2","Neuropilin 2","Protein Coding","40","GC02P205681","5.75400161743164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP2"
"CUL2","Cullin 2","Protein Coding","37","GC10M035046","5.7501654624939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL2"
"ELOB","Elongin B","Protein Coding","31","GC16M006762","5.7501654624939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOB"
"ZYG11B","Zyg-11 Family Member B, Cell Cycle Regulator","Protein Coding","29","GC01P052726","5.7501654624939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZYG11B"
"EEF1A1","Eukaryotic Translation Elongation Factor 1 Alpha 1","Protein Coding","38","GC06M073515","5.73234462738037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A1"
"ATG14","Autophagy Related 14","Protein Coding","31","GC14M055366","5.72571182250977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG14"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","47","GC14M104769","5.70947933197021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"MOGS","Mannosyl-Oligosaccharide Glucosidase","Protein Coding","38","GC02M074461","5.70438528060913","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOGS"
"YWHAZ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta","Protein Coding","42","GC08M100917","5.69836807250977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAZ"
"RPS3","Ribosomal Protein S3","Protein Coding","38","GC11P077659","5.65702819824219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS3"
"RPS2","Ribosomal Protein S2","Protein Coding","37","GC16M006682","5.65702819824219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS2"
"RBX1","Ring-Box 1","Protein Coding","38","GC22P040951","5.62136745452881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBX1"
"NUP155","Nucleoporin 155","Protein Coding","40","GC05M037288","5.62108612060547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP155"
"CNBP","CCHC-Type Zinc Finger Nucleic Acid Binding Protein","Protein Coding","38","GC03M129167","5.62108612060547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNBP"
"GJA1","Gap Junction Protein Alpha 1","Protein Coding","45","GC06P121436","5.60826396942139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA1"
"FYN","FYN Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","42","GC06M111660","5.52196979522705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FYN"
