Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","39","GC04M076021","12.5083227157593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"TNNI3","Troponin I3, Cardiac Type","Protein Coding","44","GC19M055151","11.9806289672852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI3"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","35","GC04P073740","11.8732109069824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"HLA-A","Major Histocompatibility Complex, Class I, A","Protein Coding","42","GC06P080311","11.8119707107544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A"
"IL4","Interleukin 4","Protein Coding","40","GC05P132673","11.7425031661987","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"CTSL","Cathepsin L","Protein Coding","42","GC09P087725","11.6269063949585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL"
"F2","Coagulation Factor II, Thrombin","Protein Coding","45","GC11P046720","11.4202270507813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","43","GC17P034255","11.078106880188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"IL1B","Interleukin 1 Beta","Protein Coding","42","GC02M112829","11.0428628921509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"IFNB1","Interferon Beta 1","Protein Coding","40","GC09M021077","10.8620719909668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1"
"SLC6A19","Solute Carrier Family 6 Member 19","Protein Coding","40","GC05P001201","10.6714315414429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A19"
"NPPB","Natriuretic Peptide B","Protein Coding","39","GC01M011858","10.0949363708496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPB"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","36","GC17M036088","9.73291301727295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"IL2","Interleukin 2","Protein Coding","42","GC04M122451","9.61889743804932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"TMPRSS4","Transmembrane Serine Protease 4","Protein Coding","35","GC11P118077","9.51827716827393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS4"
"PLG","Plasminogen","Protein Coding","44","GC06P160702","9.458327293396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLG"
"APOE","Apolipoprotein E","Protein Coding","45","GC19P063844","9.19247245788574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"SLC6A20","Solute Carrier Family 6 Member 20","Protein Coding","37","GC03M045755","9.11978435516357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A20"
"IFNA2","Interferon Alpha 2","Protein Coding","38","GC09M021384","9.11171722412109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA2"
"AGTR2","Angiotensin II Receptor Type 2","Protein Coding","41","GC0XP116170","9.06922245025635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR2"
"KNG1","Kininogen 1","Protein Coding","42","GC03P186717","8.79869270324707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1"
"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5","Protein Coding","42","GC09M125234","8.64187622070313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5"
"LZTFL1","Leucine Zipper Transcription Factor Like 1","Protein Coding","35","GC03M045823","8.5940055847168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTFL1"
"TLR4","Toll Like Receptor 4","Protein Coding","46","GC09P117704","8.12264442443848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"IFNG","Interferon Gamma","Protein Coding","43","GC12M068154","8.02443027496338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"REN","Renin","Protein Coding","44","GC01M204154","7.97673892974854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"TNFRSF1B","TNF Receptor Superfamily Member 1B","Protein Coding","42","GC01P012169","7.8245701789856","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B"
"CCR9","C-C Motif Chemokine Receptor 9","Protein Coding","38","GC03P046396","7.82245779037476","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR9"
"IFNA1","Interferon Alpha 1","Protein Coding","38","GC09P021585","7.33969402313232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"AGT","Angiotensinogen","Protein Coding","44","GC01M230702","6.824547290802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"FCGR3A","Fc Gamma Receptor IIIa","Protein Coding","41","GC01M161541","6.67034816741943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3A"
"HLA-C","Major Histocompatibility Complex, Class I, C","Protein Coding","40","GC06M063562","6.65256834030151","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","43","GC12M006328","6.64114284515381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"ATF4","Activating Transcription Factor 4","Protein Coding","40","GC22P039606","6.54912281036377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF4"
"TBX21","T-Box Transcription Factor 21","Protein Coding","41","GC17P047733","6.3765983581543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX21"
"FCRL5","Fc Receptor Like 5","Protein Coding","35","GC01M157514","6.3765983581543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCRL5"
"CD99","CD99 Molecule (Xg Blood Group)","Protein Coding","35","GC0XP002691","6.37240839004517","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD99"
"INS","Insulin","Protein Coding","42","GC11M002159","6.29830360412598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"IRF3","Interferon Regulatory Factor 3","Protein Coding","40","GC19M049659","6.21511173248291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF3"
"CD8A","CD8a Molecule","Protein Coding","41","GC02M086784","6.15707111358643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"TLR3","Toll Like Receptor 3","Protein Coding","46","GC04P186059","6.15269899368286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3"
"CCL17","C-C Motif Chemokine Ligand 17","Protein Coding","37","GC16P057413","6.08393430709839","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL17"
"CSF2","Colony Stimulating Factor 2","Protein Coding","38","GC05P132073","6.04528331756592","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"ABO","ABO, Alpha 1-3-N-Acetylgalactosaminyltransferase And Alpha 1-3-Galactosyltransferase","Protein Coding","34","GC09M133250","5.78997611999512","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO"
"TAMM41","TAM41 Mitochondrial Translocator Assembly And Maintenance Homolog","Protein Coding","30","GC03M011721","5.77945518493652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAMM41"
"CCR5","C-C Motif Chemokine Receptor 5","Protein Coding","43","GC03P046460","5.46187925338745","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","44","GC01M155185","5.45135498046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"CHAT","Choline O-Acetyltransferase","Protein Coding","43","GC10P049609","5.30467081069946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","43","GC07M005973","5.30467081069946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"INPP5E","Inositol Polyphosphate-5-Phosphatase E","Protein Coding","39","GC09M136428","5.30467081069946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5E"
"AR","Androgen Receptor","Protein Coding","47","GC0XP067544","5.21685600280762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"SERPINE1","Serpin Family E Member 1","Protein Coding","44","GC07P101127","5.13518953323364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"BSG","Basigin (Ok Blood Group)","Protein Coding","39","GC19P000571","5.02703857421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","42","GC06M063563","4.91738843917847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"IRF7","Interferon Regulatory Factor 7","Protein Coding","43","GC11M000612","4.90213251113892","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF7"
"CXCR6","C-X-C Motif Chemokine Receptor 6","Protein Coding","37","GC03P046399","4.89319801330566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR6"
"TBK1","TANK Binding Kinase 1","Protein Coding","44","GC12P064451","4.84200954437256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1"
"IFNAR2","Interferon Alpha And Beta Receptor Subunit 2","Protein Coding","44","GC21P033229","4.77450132369995","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR2"
"VWF","Von Willebrand Factor","Protein Coding","44","GC12M005917","4.7566237449646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"TLR2","Toll Like Receptor 2","Protein Coding","46","GC04P153684","4.66983222961426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2"
"ALB","Albumin","Protein Coding","44","GC04P073397","4.650719165802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"LOC117134593","ACE2 Promoter Region","Biological Region","2","GC0XP015600","4.56867361068726","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134593"
"ADM","Adrenomedullin","Protein Coding","40","GC11P010304","4.51153182983398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","48","GC07P055019","4.47101545333862","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"C11orf71","Chromosome 11 Open Reading Frame 71","Protein Coding","26","GC11M114391","4.41830205917358","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf71"
"MIR4755","MicroRNA 4755","RNA Gene","12","GC20P034049","4.41830205917358","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4755"
"MIR6511A1","MicroRNA 6511a-1","RNA Gene","9","GC16P014925","4.41830205917358","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR6511A1"
"ADAMTS13","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13","Protein Coding","44","GC09P133414","4.36997222900391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS13"
"IL17A","Interleukin 17A","Protein Coding","39","GC06P052186","4.19718551635742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"IFIH1","Interferon Induced With Helicase C Domain 1","Protein Coding","42","GC02M162267","4.09512090682983","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","42","GC11M014945","4.03703594207764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
"IFITM3","Interferon Induced Transmembrane Protein 3","Protein Coding","38","GC11M000319","3.9730908870697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM3"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","46","GC02M009488","3.9654221534729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"S100A8","S100 Calcium Binding Protein A8","Protein Coding","38","GC01M153391","3.95002722740173","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8"
"STING1","Stimulator Of Interferon Response CGAMP Interactor 1","Protein Coding","32","GC05M139476","3.94050884246826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STING1"
"SCARB1","Scavenger Receptor Class B Member 1","Protein Coding","42","GC12M124776","3.9202709197998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1"
"SERPING1","Serpin Family G Member 1","Protein Coding","42","GC11P057597","3.89747595787048","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPING1"
"LOC117134608","TMPRSS2 Androgen Receptor-Responsive -13 Kb Enhancer","Biological Region","2","GC21P041519","3.86472344398499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134608"
"LOC117135106","TMPRSS2 Androgen Receptor-Responsive -60 Kb Enhancer","Biological Region","2","GC21P041568","3.86472344398499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135106"
"LOC117134604","TMPRSS2 Promoter Region","Biological Region","2","GC21P041507","3.861736536026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134604"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","47","GC02M190908","3.83292150497437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"NRP2","Neuropilin 2","Protein Coding","40","GC02P205681","3.82082748413086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP2"
"SERPINA1","Serpin Family A Member 1","Protein Coding","44","GC14M094376","3.81995964050293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA1"
"S100A9","S100 Calcium Binding Protein A9","Protein Coding","38","GC01P153357","3.80272626876831","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9"
"DDX58","DExD/H-Box Helicase 58","Protein Coding","42","GC09M032455","3.78899192810059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX58"
"LOC112679198","ABO +5.8 Intron 1 Enhancer","Biological Region","2","GC09P133267","3.77778005599976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC112679198"
"LOC119086083","CCR9 Promoter Region","Biological Region","2","GC03P045885","3.77778005599976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC119086083"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","43","GC12M102395","3.77238082885742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"HMGB1","High Mobility Group Box 1","Protein Coding","40","GC13M030456","3.76282262802124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"PLAUR","Plasminogen Activator, Urokinase Receptor","Protein Coding","39","GC19M043646","3.70787143707275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAUR"
"IL22","Interleukin 22","Protein Coding","37","GC12M068248","3.6847779750824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL22"
"IL7","Interleukin 7","Protein Coding","39","GC08M078689","3.6669933795929","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","44","GC14P061695","3.65966701507568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"HMOX1","Heme Oxygenase 1","Protein Coding","46","GC22P035380","3.64577460289001","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"VDR","Vitamin D Receptor","Protein Coding","46","GC12M047841","3.63396811485291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR"
"IL18","Interleukin 18","Protein Coding","38","GC11M112143","3.61560440063477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"MAVS","Mitochondrial Antiviral Signaling Protein","Protein Coding","34","GC20P004009","3.61274170875549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAVS"
"FYCO1","FYVE And Coiled-Coil Domain Autophagy Adaptor 1","Protein Coding","36","GC03M045917","3.58243942260742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FYCO1"
"RAB7A","RAB7A, Member RAS Oncogene Family","Protein Coding","42","GC03P133819","3.54249000549316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB7A"
"ARNTL","Aryl Hydrocarbon Receptor Nuclear Translocator Like","Protein Coding","37","GC11P013276","3.53328418731689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARNTL"
"SFTPD","Surfactant Protein D","Protein Coding","39","GC10M079937","3.51519203186035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPD"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","46","GC19M041301","3.49333190917969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"TREM1","Triggering Receptor Expressed On Myeloid Cells 1","Protein Coding","36","GC06M041267","3.48353695869446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM1"
"CD14","CD14 Molecule","Protein Coding","41","GC05M140631","3.4335401058197","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14"
"CD209","CD209 Molecule","Protein Coding","39","GC19M007739","3.42073011398315","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","46","GC13M028300","3.37333679199219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"LOC117134605","TMPRSS2 Repressive Element NBS1","Biological Region","2","GC21P041510","3.32633972167969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134605"
"LOC117134606","TMPRSS2 Repressive Element NBS2","Biological Region","2","GC21P041511","3.32633972167969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134606"
"LOC117134607","TMPRSS2 Repressive Element NBS4","Biological Region","2","GC21P041518","3.32633972167969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134607"
"LOC117134611","TMPRSS2 -17 Kb Enhancer","Biological Region","2","GC21P041525","3.32633972167969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134611"
"LOC117135104","TMPRSS2 E3 Enhancer","Biological Region","2","GC21P041529","3.32633972167969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135104"
"LOC117135105","TMPRSS2 E4 Enhancer","Biological Region","2","GC21P041535","3.32633972167969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135105"
"CGAS","Cyclic GMP-AMP Synthase","Protein Coding","29","GC06M073414","3.32003784179688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGAS"
"EDN1","Endothelin 1","Protein Coding","43","GC06P012256","3.30674600601196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"ACAT1","Acetyl-CoA Acetyltransferase 1","Protein Coding","44","GC11P108121","3.30184841156006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT1"
"MUC5AC","Mucin 5AC, Oligomeric Mucus/Gel-Forming","Protein Coding","36","GC11P001698","3.29759311676025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5AC"
"MBL2","Mannose Binding Lectin 2","Protein Coding","42","GC10M052760","3.28855514526367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"IFNAR1","Interferon Alpha And Beta Receptor Subunit 1","Protein Coding","41","GC21P033324","3.26735305786133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR1"
"CCL5","C-C Motif Chemokine Ligand 5","Protein Coding","38","GC17M035871","3.25834059715271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"PRF1","Perforin 1","Protein Coding","41","GC10M070597","3.21297073364258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1"
"SDC1","Syndecan 1","Protein Coding","38","GC02M020200","3.20674657821655","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDC1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","44","GC10P091581","3.18425154685974","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"IL13","Interleukin 13","Protein Coding","40","GC05P132656","3.15683531761169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"TLR9","Toll Like Receptor 9","Protein Coding","41","GC03M052222","3.13665318489075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9"
"ELANE","Elastase, Neutrophil Expressed","Protein Coding","44","GC19P002492","3.11654567718506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE"
"FGA","Fibrinogen Alpha Chain","Protein Coding","43","GC04M154583","3.10518646240234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGA"
"FGB","Fibrinogen Beta Chain","Protein Coding","43","GC04P154587","3.10518646240234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGB"
"AAK1","AP2 Associated Kinase 1","Protein Coding","37","GC02M069459","3.09097290039063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAK1"
"ANGPT2","Angiopoietin 2","Protein Coding","42","GC08M006499","3.04862666130066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT2"
"PTX3","Pentraxin 3","Protein Coding","38","GC03P157436","3.04862666130066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTX3"
"RAVER1","Ribonucleoprotein, PTB Binding 1","Protein Coding","30","GC19M010316","3.03570890426636","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAVER1"
"TLR8","Toll Like Receptor 8","Protein Coding","43","GC0XP012924","3.01638984680176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8"
"OAS3","2'-5'-Oligoadenylate Synthetase 3","Protein Coding","36","GC12P112938","2.99965906143188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS3"
"ZC3HAV1","Zinc Finger CCCH-Type Containing, Antiviral 1","Protein Coding","35","GC07M139051","2.93692517280579","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3HAV1"
"IL10RB","Interleukin 10 Receptor Subunit Beta","Protein Coding","39","GC21P033266","2.90881943702698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RB"
"AVP","Arginine Vasopressin","Protein Coding","41","GC20M003082","2.90880656242371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVP"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","46","GC07P150990","2.88728189468384","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"XCR1","X-C Motif Chemokine Receptor 1","Protein Coding","35","GC03M046016","2.86577200889587","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XCR1"
"CLEC4M","C-Type Lectin Domain Family 4 Member M","Protein Coding","36","GC19P007763","2.86247444152832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC4M"
"CCR2","C-C Motif Chemokine Receptor 2","Protein Coding","40","GC03P046443","2.85332727432251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2"
"DPP9","Dipeptidyl Peptidase 9","Protein Coding","38","GC19M004675","2.85332727432251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP9"
"PDCD1","Programmed Cell Death 1","Protein Coding","42","GC02M241849","2.84947919845581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1"
"SIGLEC1","Sialic Acid Binding Ig Like Lectin 1","Protein Coding","36","GC20M003686","2.84619045257568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGLEC1"
"JAK1","Janus Kinase 1","Protein Coding","48","GC01M064833","2.83026599884033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK1"
"TNNT2","Troponin T2, Cardiac Type","Protein Coding","43","GC01M201359","2.82460999488831","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNT2"
"SFTPB","Surfactant Protein B","Protein Coding","40","GC02M085657","2.80234813690186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPB"
"FCGR2A","Fc Gamma Receptor IIa","Protein Coding","42","GC01P161505","2.78229761123657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2A"
"BDKRB1","Bradykinin Receptor B1","Protein Coding","40","GC14P096293","2.78229761123657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDKRB1"
"VPS39","VPS39 Subunit Of HOPS Complex","Protein Coding","35","GC15M042159","2.78153777122498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS39"
"LOC118966792","DACE2 Interferon-Inducible Promoter Region","Biological Region","2","GC0XP015580","2.76890754699707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC118966792"
"SELP","Selectin P","Protein Coding","41","GC01M169558","2.76848864555359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELP"
"MYD88","MYD88 Innate Immune Signal Transduction Adaptor","Protein Coding","44","GC03P038139","2.73444700241089","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","45","GC02M177227","2.72571969032288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"CCR1","C-C Motif Chemokine Receptor 1","Protein Coding","41","GC03M046218","2.70699524879456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR1"
"LOC117600004","CTSL Promoter Region","Biological Region","2","GC09P087724","2.69801259040833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117600004"
"THBD","Thrombomodulin","Protein Coding","40","GC20M023026","2.68994331359863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD"
"ITM2B","Integral Membrane Protein 2B","Protein Coding","40","GC13P048233","2.6844744682312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITM2B"
